,apt_name,apt_rent_month,BHK,sq_ft,description
946,Mahimas Uday,"₹ 33 Lac
₹ 3,934/sq.ft.","2 BHK
2 Baths","839 sq.ft.
(78 sq.m.) Super built-up Area",2 BHK Residential Apartment in Nandpuri
947,Mannat III RESIDENCY,"₹ 60 Lac
₹ 4,375/sq.ft.","3 BHK
2 Baths","1,600 sq.ft.
(149 sq.m.) Super built-up Area",3 BHK Residential Apartment in Moti Nagar
948,Friend colony,"₹ 30 Lac
₹ 3,529/sq.ft.","2 BHK
2 Baths","850 sq.ft.
(79 sq.m.) Carpet Area",2 BHK Residential Apartment in Near Calgiri Eye Hospital
949,Vinayak Ashiana 11,"₹ 22 Lac
₹ 3,142/sq.ft.","2 BHK
2 Baths","700 sq.ft.
(65 sq.m.) Super built-up Area",2 BHK Residential Apartment in Benad Road
950,,"₹ 3.25 Cr
₹ 10,747/sq.ft.","9 BHK
8 Baths","3,024 sq.ft.
(281 sq.m.) Plot Area",9 Bedroom Independent House in Hasanpura
951,,"₹ 65 Lac
₹ 903/sq.ft.","5 BHK
3 Baths","7,200 sq.ft.
(669 sq.m.) Plot Area",5 Bedroom Independent House in Sector-18 Pratap Nagar
952,,"₹ 65 Lac
₹ 2,276/sq.ft.","3 BHK
4 Baths","2,855 sq.ft.
(265 sq.m.) Carpet Area",3 BHK Independent Builder Floor in Heerapura
953,model town A block,"₹ 85 Lac
₹ 8,141/sq.ft.","5 BHK
3 Baths","1,044 sq.ft.
(97 sq.m.) Plot Area",5 Bedroom Independent House in behind Anukampa Tower
954,Kishan Green residencey,"₹ 11.67 Lac
₹ 1,167/sq.ft.",,"999 sq.ft.
(93 sq.m.) Plot Area","Residential land / Plot in Nevta , Mahindra Sez"
955,,"₹ 53.95 Lac
₹ 1,501/sq.ft.",,"3,330 sq.ft.
(309 sq.m.) Plot Area",Residential land / Plot in Keshopura
956,Guman Kardhani Heights,"₹ 19 Lac
₹ 2,533/sq.ft.","2 BHK
2 Baths","750 sq.ft.
(70 sq.m.) Super built-up Area",2 BHK Residential Apartment in Kalwar Road
957,Sri Phal Apartments,"₹ 46 Lac
₹ 4,842/sq.ft.","2 BHK
2 Baths","950 sq.ft.
(88 sq.m.) Carpet Area",2 BHK Residential Apartment in Malviya Nagar
958,Manglam Aangan Prime New,"₹ 18.9 Lac
₹ 1,890/sq.ft.",,"1,000 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Mahapura
959,Mahima Nirvana,"₹ 60 Lac
₹ 3,981/sq.ft.","3 BHK
2 Baths","1,507 sq.ft.
(140 sq.m.) Carpet Area",3 BHK Residential Apartment in Ajmer Road
960,Sirsi Road,"₹ 61 Lac
₹ 7,531/sq.ft.","3 BHK
2 Baths","810 sq.ft.
(75 sq.m.) Plot Area",3 Bedroom Independent House in Sirsi Road
961,Gurukrupa Rajapark,"₹ 75 Lac
₹ 5,000/sq.ft.","3 BHK
2 Baths","1,550 sq.ft.
(144 sq.m.) Carpet Area",3 BHK Residential Apartment in Rajapark
962,Aastha Ashish Heights,"₹ 40 Lac
₹ 2,836/sq.ft.","3 BHK
3 Baths","1,410 sq.ft.
(131 sq.m.) Super built-up Area",3 BHK Residential Apartment in Sitapura
963,,"₹ 4.1 Cr
₹ 12,654/sq.ft.",,"3,240 sq.ft.
(301 sq.m.) Plot Area",Residential land / Plot in golimar garden
964,Joy Royal Greens,"₹ 37 Lac
₹ 3,775/sq.ft.","2 BHK
2 Baths","980 sq.ft.
(91 sq.m.) Built-up Area",2 BHK Residential Apartment in Sirsi Road
965,Phase 2,"₹ 25 Lac
₹ 922/sq.ft.",,"2,712 sq.ft.
(252 sq.m.) Plot Area",Residential land / Plot in Rohini Nagar
966,Omaxe City,"₹ 18 Lac
₹ 1,449/sq.ft.",,"1,242 sq.ft.
(115 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
967,Unique My Haveli,"₹ 18.5 Lac
₹ 3,298/sq.ft.","1 BHK
1 Bath","561 sq.ft.
(52 sq.m.) Super built-up Area",1 BHK Residential Apartment in Ajmer Road
968,,"₹ 29.5 Lac
₹ 2,950/sq.ft.","2 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
969,Mahimas Desire,"₹ 19 Lac
₹ 2,978/sq.ft.","1 BHK
1 Bath","638 sq.ft.
(59 sq.m.) Super built-up Area",1 BHK Residential Apartment in Ajmer Road
970,,"₹ 1.25 Cr
₹ 5,435/sq.ft.","4 BHK
3 Baths","2,300 sq.ft.
(214 sq.m.) Built-up Area",4 BHK Independent Builder Floor in Sodala
971,ACG Sirsi Villas,₹ 52 Lac,3 BHK,"1,440 sq.ft.
(134 sq.m.) Built-up Area",3 Bedroom Independent House in Vaishali Nagar
972,ACG Shree Balaji Homes,₹ 39 Lac,"3 BHK
3 Baths","1,450 sq.ft.
(135 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
973,ACG 35th Avenue,₹ 42 Lac,3 BHK,"1,350 sq.ft.
(125 sq.m.) Super built-up Area",3 BHK Residential Apartment in Chitrakoot
974,Manglam Aadhar Vaishali Estate,"₹ 42.9 Lac
₹ 3,064/sq.ft.","3 BHK
2 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
975,,"₹ 13.25 Lac
₹ 6,022/sq.ft.",,"220 sq.ft.
(20 sq.m.) Plot Area",Residential land / Plot in Transport Nagar
976,Phagi Road,"₹ 16 Lac
₹ 918/sq.ft.",,"1,743 sq.ft.
(162 sq.m.) Plot Area",Residential land / Plot in Rohini Nagar I
977,,"₹ 65 Lac
₹ 8,125/sq.ft.","5 BHK
3 Baths","800 sq.ft.
(74 sq.m.) Plot Area",5 Bedroom Independent House in Sector-18 Pratap Nagar
978,Rohini Enclave,"₹ 3 Lac
₹ 619/sq.ft.",,"484 sq.ft.
(45 sq.m.) Plot Area",Residential land / Plot in Phagi
979,,"₹ 18 Lac
₹ 267/sq.ft.",,"6,750 sq.ft.
(627 sq.m.) Plot Area",Residential land / Plot in Phagi
980,Vani Reaidency,"₹ 45 Lac
₹ 3,214/sq.ft.","3 BHK
2 Baths","1,400 sq.ft.
(130 sq.m.) Carpet Area",3 BHK Residential Apartment in Patrakar Colony
981,Vijay Laxmi Apartments,"₹ 55 Lac
₹ 3,666/sq.ft.",3 Baths,"1,500 sq.ft.
(139 sq.m.) Carpet Area",Residential Apartment in Bani Park
982,Mahima Nirvana,"₹ 40 Lac
₹ 3,864/sq.ft.","2 BHK
2 Baths","1,035 sq.ft.
(96 sq.m.) Built-up Area",2 BHK Residential Apartment in Ajmer Road
983,Mahima IRIS-I Apartment,"₹ 1.1 Cr
₹ 7,735/sq.ft.","3 BHK
2 Baths","1,422 sq.ft.
(132 sq.m.) Super built-up Area","3 BHK Residential Apartment in Swage Farm,"
984,Moon Residency IV,"₹ 21 Lac
₹ 2,333/sq.ft.","2 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Carpet Area",2 BHK Residential Apartment in Niwaru Road
985,,"₹ 34.5 Lac
₹ 2,760/sq.ft.","3 BHK
2 Baths","1,250 sq.ft.
(116 sq.m.) Built-up Area",3 BHK Independent Builder Floor in Niwaru Road
986,Shreenath Square Arcade,"₹ 31.4 Lac
₹ 2,500/sq.ft.","2 BHK
2 Baths","1,337 sq.ft.
(124 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jaisinghpura
987,,"₹ 26.5 Lac
₹ 2,944/sq.ft.","2 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Carpet Area",2 BHK Independent Builder Floor in 200ft bye pass Ajmer road jaipur
988,Mapple green,"₹ 75 Lac
₹ 6,818/sq.ft.","3 BHK
2 Baths","1,100 sq.ft.
(102 sq.m.) Carpet Area","3 BHK Independent Builder Floor in Banipark,jaipur"
989,Rawangate Kardhani,"₹ 45 Lac
₹ 3,623/sq.ft.",,"1,242 sq.ft.
(115 sq.m.) Plot Area",Residential land / Plot in Vinayak Vihar
990,Satyam Moon Paradise City,Price on Request,,"1,506 sq.ft.
(140 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
991,"Signature Residency, Saraswati Nagar","₹ 55 Lac
₹ 4,782/sq.ft.","3 BHK
3 Baths","1,150 sq.ft.
(107 sq.m.) Built-up Area",3 BHK Independent Builder Floor in Near Jawahar Circle
992,,"₹ 5.5 Cr
₹ 13,002/sq.ft.","4 BHK
5 Baths","4,230 sq.ft.
(393 sq.m.) Plot Area",4 Bedroom Independent House in Sindhi Camp
993,Unique My Haveli,"₹ 36 Lac
₹ 2,769/sq.ft.","3 BHK
3 Baths","1,300 sq.ft.
(121 sq.m.) Built-up Area",3 BHK Residential Apartment in Ajmer Road
994,UDB Celebrations,"₹ 32 Lac
₹ 2,266/sq.ft.","3 BHK
2 Baths","1,412 sq.ft.
(131 sq.m.) Super built-up Area",3 BHK Residential Apartment in Tonk Road
995,,"₹ 27 Lac
₹ 3,000/sq.ft.","2 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Built-up Area",2 BHK Independent Builder Floor in Jagatpura
996,,"₹ 40 Lac
₹ 4,210/sq.ft.","2 BHK
2 Baths","950 sq.ft.
(88 sq.m.) Carpet Area",2 BHK Independent Builder Floor in Jagatpura
997,Saraswati Vihar (JDA Approved),"₹ 45 Lac
₹ 21,429/sq.ft.",,"210 sq.ft.
(20 sq.m.) Plot Area",Residential land / Plot in Goner Road
998,,"₹ 4 Cr
₹ 9,746/sq.ft.","5 BHK
3 Baths","4,104 sq.ft.
(381 sq.m.) Plot Area",5 Bedroom Independent House in Chaura
999,,"₹ 27 Lac
₹ 2,842/sq.ft.","2 BHK
2 Baths","950 sq.ft.
(88 sq.m.) Built-up Area",2 BHK Independent Builder Floor in Khatipura
1000,,"₹ 2 Cr
₹ 7,143/sq.ft.","4 BHK
2 Baths","2,800 sq.ft.
(260 sq.m.) Super built-up Area",4 BHK Independent Builder Floor in Gopalpura Bypass
1001,,"₹ 4.5 Lac
₹ 500/sq.ft.",,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Manpura Macheri
1002,Khandelwal Nagar Patel Colony,"₹ 3.5 Cr
₹ 2,734/sq.ft.","20 BHK
20 Baths","12,800 sq.ft.
(1189 sq.m.) Super built-up Area",20 BHK Residential Apartment in Agra Road
1003,,"₹ 32 Lac
₹ 3,265/sq.ft.","2 BHK
2 Baths","980 sq.ft.
(91 sq.m.) Built-up Area",2 BHK Independent Builder Floor in Govindpura Kardhani Scheme
1004,,"₹ 18 Lac
₹ 1,194/sq.ft.",,"1,506 sq.ft.
(140 sq.m.) Plot Area","Residential land / Plot in Jaranwala,near 200 feet road,shikarpura road"
1005,,"₹ 65 Lac
₹ 9,420/sq.ft.","6 BHK
5 Baths","690 sq.ft.
(64 sq.m.) Plot Area",6 Bedroom Independent House in Jhotwara
1006,shree nath nagar Pratap Nagar,"₹ 55 Lac
₹ 5,238/sq.ft.","3 BHK
2 Baths","1,050 sq.ft.
(98 sq.m.) Carpet Area",3 BHK Residential Apartment in Pratap Nagar
1007,,"₹ 42 Lac
₹ 1,167/sq.ft.",,"3,600 sq.ft.
(334 sq.m.) Plot Area",Residential land / Plot in Mahindra City
1008,Raj Apartment,"₹ 40 Lac
₹ 2,770/sq.ft.","3 BHK
3 Baths","1,444 sq.ft.
(134 sq.m.) Super built-up Area",3 BHK Independent Builder Floor in Niwaru Road
1009,,"₹ 25 Lac
₹ 2,272/sq.ft.",,"1,100 sq.ft.
(102 sq.m.) Plot Area",Residential land / Plot in Muhana mundi
1010,Green Heights,"₹ 16 Lac
₹ 2,469/sq.ft.","1 BHK
1 Bath","648 sq.ft.
(60 sq.m.) Super built-up Area",1 BHK Residential Apartment in Sirsi Road
1011,,"₹ 5.25 Cr
₹ 11,218/sq.ft.",,"4,680 sq.ft.
(435 sq.m.) Plot Area",Residential land / Plot in Adarsh Nagar
1012,Lotus Villa,"₹ 40.25 Lac
₹ 3,245/sq.ft.","2 BHK
2 Baths","1,240 sq.ft.
(115 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
1013,,"₹ 6 Cr
₹ 1,148/sq.ft.",,"52,271 sq.ft.
(4856 sq.m.) Plot Area",Residential land / Plot in Amer
1014,"Eco City 2 , Powered By A Class Real Group.","₹ 5.5 Lac
₹ 488/sq.ft.",,"1,125 sq.ft.
(105 sq.m.) Plot Area",Residential land / Plot in Mahlan
1015,,"₹ 37 Lac
₹ 4,111/sq.ft.","2 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Built-up Area",2 BHK Independent Builder Floor in Goverdhan Puri
1016,Salasar Residency 2nd,"₹ 36 Lac
₹ 2,880/sq.ft.","3 BHK
2 Baths","1,250 sq.ft.
(116 sq.m.) Carpet Area",3 BHK Independent Builder Floor in Gandhi Path West
1017,khatipura,"₹ 2 Cr
₹ 10,000/sq.ft.","4 BHK
3 Baths","2,000 sq.ft.
(186 sq.m.) Plot Area",4 Bedroom Independent House in Jaswant Nagar
1018,Apartments,"₹ 1.5 Cr
₹ 7,500/sq.ft.","3 BHK
2 Baths","2,000 sq.ft.
(186 sq.m.) Carpet Area",3 BHK Residential Apartment in Malviya Nagar
1019,Elegant Param,"₹ 33 Lac
₹ 3,882/sq.ft.","2 BHK
2 Baths","850 sq.ft.
(79 sq.m.) Super built-up Area",2 BHK Residential Apartment in Gandhi Path
1020,Sachiwalya Enclave,"₹ 30 Lac
₹ 1,072/sq.ft.",,"2,799 sq.ft.
(260 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
1021,ARG Divine Enclave,"₹ 27 Lac
₹ 2,677/sq.ft.","2 BHK
2 Baths","1,008 sq.ft.
(94 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
1022,Radha Govind Appt.,"₹ 30 Lac
₹ 3,333/sq.ft.","2 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Built-up Area",2 BHK Residential Apartment in Jagatpura
1023,,"₹ 60 Lac
₹ 4,616/sq.ft.","3 BHK
3 Baths","1,300 sq.ft.
(121 sq.m.) Super built-up Area",3 BHK Independent Builder Floor in Chitrakoot
1024,,"₹ 15 Lac
₹ 833/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Renwal Manji
1025,,"₹ 21.8 Lac
₹ 1,111/sq.ft.",,"1,962 sq.ft.
(182 sq.m.) Plot Area",Residential land / Plot in Jayanti Nagar
1026,,"₹ 25 Lac
₹ 1,433/sq.ft.",,"1,743 sq.ft.
(162 sq.m.) Plot Area",Residential land / Plot in Balawala
1027,,Price on Request,,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Kanwar Nagar
1028,apna aangan 2,"₹ 27 Lac
₹ 3,375/sq.ft.","2 BHK
2 Baths","800 sq.ft.
(74 sq.m.) Built-up Area",2 BHK Residential Apartment in Sirsi Road
1029,Ashiana Utsav Care Homes,"₹ 31 Lac
₹ 2,541/sq.ft.","2 BHK
2 Baths","1,220 sq.ft.
(113 sq.m.) Super built-up Area",2 BHK Residential Apartment in Kalwar
1030,Mahimas Panorama,"₹ 64 Lac
₹ 4,016/sq.ft.","3 BHK
4 Baths","1,593 sq.ft.
(148 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
1031,Ansal API Auro Villa and Elina,"₹ 45 Lac
₹ 2,778/sq.ft.","4 BHK
3 Baths","1,620 sq.ft.
(151 sq.m.) Plot Area",4 Bedroom Independent House in Kalwar Road
1032,Shivani vatika nayla,"₹ 1.67 Lac
₹ 372/sq.ft.",,"450 sq.ft.
(42 sq.m.) Plot Area",Residential land / Plot in Nayla
1033,Siddha Hans,"₹ 24 Lac
₹ 2,901/sq.ft.","2 BHK
2 Baths","862 sq.ft.
(80 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
1034,Mahimas Panorama,"₹ 50 Lac
₹ 4,332/sq.ft.","3 BHK
2 Baths","1,154 sq.ft.
(107 sq.m.) Carpet Area",3 BHK Residential Apartment in Jagatpura
1035,,"₹ 1.25 Cr
₹ 4,637/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Savitri Vihar
1036,gkb group,"₹ 35 Lac
₹ 3,043/sq.ft.","3 BHK
2 Baths","1,150 sq.ft.
(107 sq.m.) Plot Area",3 Bedroom Independent House in jaipur-ajmer
1037,Satyam City,"₹ 5.5 Lac
₹ 292/sq.ft.",,"1,881 sq.ft.
(175 sq.m.) Plot Area",Residential land / Plot in Gidani
1038,Auric Prime Suites,"₹ 28.53 Lac
₹ 2,300/sq.ft.","2 BHK
2 Baths","1,243 sq.ft.
(115 sq.m.) Carpet Area",2 BHK Residential Apartment in Bhankrota
1039,Arihant Enclave,"₹ 36 Lac
₹ 2,713/sq.ft.","3 BHK
3 Baths","1,327 sq.ft.
(123 sq.m.) Super built-up Area",3 BHK Residential Apartment in Kanak Vihar
1040,,"₹ 33 Lac
₹ 2,400/sq.ft.","3 BHK
1 Bath","1,375 sq.ft.
(128 sq.m.) Built-up Area",3 Bedroom Independent House in Badarna
1041,Ashadeep Kendriya Vihar 2,"₹ 68.04 Lac
₹ 3,813/sq.ft.","3 BHK
3 Baths","1,785 sq.ft.
(166 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
1042,"Baba Apartments, Kanakpura","₹ 41 Lac
₹ 2,827/sq.ft.","3 BHK
3 Baths","1,450 sq.ft.
(135 sq.m.) Super built-up Area",3 BHK Residential Apartment in Sirsi Road
1043,Rajasthan Housing Board Society,"₹ 37 Lac
₹ 6,727/sq.ft.","2 BHK
1 Bath","550 sq.ft.
(51 sq.m.) Carpet Area",2 BHK Residential Apartment in 13 sector Malviya Nagar
1044,Radha Nursing Home,"₹ 35 Lac
₹ 1,350/sq.ft.","3 BHK
2 Baths","2,592 sq.ft.
(241 sq.m.) Super built-up Area",3 BHK Residential Apartment in Kalwar Road
1045,Omaxe,"₹ 38 Lac
₹ 1,407/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Jaipur Ajmer Expressway
1046,Vatika Infotech City,"₹ 27.66 Lac
₹ 1,661/sq.ft.",,"1,665 sq.ft.
(155 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
1047,,"₹ 27.66 Lac
₹ 1,661/sq.ft.",,"1,665 sq.ft.
(155 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
1048,Pearl Enclave,"₹ 60 Lac
₹ 3,582/sq.ft.","3 BHK
3 Baths","1,675 sq.ft.
(156 sq.m.) Super built-up Area",3 BHK Residential Apartment in Gurjar Ki Thadi
1049,Sunrise City,"₹ 18 Lac
₹ 1,935/sq.ft.","2 BHK
2 Baths","930 sq.ft.
(86 sq.m.) Built-up Area",2 BHK Residential Apartment in Niwaru Road
1050,,"₹ 35 Lac
₹ 3,265/sq.ft.","2 BHK
2 Baths","1,072 sq.ft.
(100 sq.m.) Built-up Area",2 BHK Independent Builder Floor in Khatipura
1051,jaipur housing board,"₹ 50 Lac
₹ 3,334/sq.ft.","3 BHK
3 Baths","1,500 sq.ft.
(139 sq.m.) Built-up Area",3 BHK Residential Apartment in Jagatpura
1052,Gurushikhar Apartments,"₹ 39 Lac
₹ 2,943/sq.ft.","2 BHK
2 Baths","1,325 sq.ft.
(123 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajairajpura
1053,,"₹ 25 Lac
₹ 8,880/sq.ft.",,"281 sq.ft.
(26 sq.m.) Plot Area",Residential land / Plot in Achrol
1054,Luv Kush Apartment,"₹ 30 Lac
₹ 2,728/sq.ft.","2 BHK
2 Baths","1,100 sq.ft.
(102 sq.m.) Built-up Area",2 BHK Residential Apartment in Vaishali Nagar
1055,Shree Om Residency,"₹ 26.51 Lac
₹ 2,306/sq.ft.","3 BHK
2 Baths","1,150 sq.ft.
(107 sq.m.) Super built-up Area",3 BHK Residential Apartment in Sirsi Road
1056,,"₹ 50 Lac
₹ 2,096/sq.ft.",,"2,385 sq.ft.
(222 sq.m.) Plot Area",Residential land / Plot in Agra Road
1057,royal greens phase 1,"₹ 47 Lac
₹ 3,252/sq.ft.","3 BHK
3 Baths","1,445 sq.ft.
(134 sq.m.) Super built-up Area",3 BHK Residential Apartment in Sirsi Road
1058,Plot goverment approved,"₹ 47.5 Lac
₹ 5,864/sq.ft.",,"810 sq.ft.
(75 sq.m.) Plot Area",Residential land / Plot in Bichoon jaipur
1059,,"₹ 2.2 Cr
₹ 6,173/sq.ft.","2 BHK
1 Bath","3,564 sq.ft.
(331 sq.m.) Plot Area",2 Bedroom Independent House in Station Road
1060,,"₹ 2 Cr
₹ 287/sq.ft.",,"69,695 sq.ft.
(6475 sq.m.) Plot Area",Residential land / Plot in Jobner
1061,,"₹ 1.5 Cr
₹ 12,468/sq.ft.","6 BHK
2 Baths","1,203 sq.ft.
(112 sq.m.) Plot Area",6 Bedroom Independent House in devi nagar gurjar ki thadi sodala
1062,Dhanuka Sunshine Prime,"₹ 46 Lac
₹ 3,972/sq.ft.","2 BHK
2 Baths","1,158 sq.ft.
(108 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
1063,ganpati enclave,"₹ 16 Lac
₹ 2,388/sq.ft.","2 BHK
2 Baths","670 sq.ft.
(62 sq.m.) Super built-up Area",2 BHK Residential Apartment in 60 ganpati enclave laxmi nagar 7 niwaru road
1064,,"₹ 24.4 Lac
₹ 21,960/sq.ft.",,"111 sq.ft.
(10 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
1065,,"₹ 14 Lac
₹ 1,401/sq.ft.",,"999 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
1066,Saraswati Palm,"₹ 38 Lac
₹ 3,454/sq.ft.","3 BHK
3 Baths","1,100 sq.ft.
(102 sq.m.) Super built-up Area",3 BHK Residential Apartment in Tonk Road Opposit Morani Moter Anokhi Restorent
1067,Maa Karnikripa Homes,"₹ 35 Lac
₹ 3,608/sq.ft.","2 BHK
2 Baths","970 sq.ft.
(90 sq.m.) Super built-up Area",2 BHK Residential Apartment in Lalarpura
1068,SDC Euro Exotica Apartments,"₹ 95 Lac
₹ 5,083/sq.ft.","3 BHK
3 Baths","1,869 sq.ft.
(174 sq.m.) Super built-up Area",3 BHK Residential Apartment in Sanganer
1069,,"₹ 25 Lac
₹ 771/sq.ft.",,"3,240 sq.ft.
(301 sq.m.) Plot Area",Residential land / Plot in Bhambori
1070,Genesis Apartment,"₹ 16.5 Lac
₹ 3,300/sq.ft.","1 RK
1 Bath","500 sq.ft.
(46 sq.m.) Built-up Area",(1 RK) Studio Apartment in Vaishali Nagar
1071,,"₹ 45 Lac
₹ 4,181/sq.ft.","2 BHK
2 Baths","1,076 sq.ft.
(100 sq.m.) Built-up Area",2 BHK Independent Builder Floor in Chitrakoot
1072,Unique Aura,"₹ 45 Lac
₹ 7,666/sq.ft.","1 BHK
1 Bath","587 sq.ft.
(55 sq.m.) Super built-up Area",1 BHK Residential Apartment in Lal Kothi
1073,,"₹ 20 Lac
₹ 4,445/sq.ft.","1 BHK
1 Bath","450 sq.ft.
(42 sq.m.) Built-up Area",1 BHK Independent Builder Floor in Chitrakoot
1074,Amrit Kalash Apartment,"₹ 45 Lac
₹ 4,166/sq.ft.","2 BHK
2 Baths","1,080 sq.ft.
(100 sq.m.) Super built-up Area",2 BHK Residential Apartment in Tonk Road
1075,RLB Casa,"₹ 30 Lac
₹ 2,522/sq.ft.","2 BHK
2 Baths","1,190 sq.ft.
(111 sq.m.) Super built-up Area",2 BHK Residential Apartment in Khushi Vihar
1076,,"₹ 18.27 Lac
₹ 1,827/sq.ft.",,"1,000 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
1077,,"₹ 12 Lac
₹ 1,200/sq.ft.",,"999 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Jaisinghpura Bas Newata
1078,Green Park Colony,"₹ 71 Lac
₹ 4,724/sq.ft.","5 BHK
6 Baths","1,503 sq.ft.
(140 sq.m.) Plot Area",5 Bedroom Independent House in Jaipur Agra Highway
1079,Wish Empire Uma Aangan,"₹ 36 Lac
₹ 3,195/sq.ft.","3 BHK
2 Baths","1,127 sq.ft.
(105 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
1080,Omaxe City,"₹ 40 Lac
₹ 1,389/sq.ft.",,"2,880 sq.ft.
(268 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
1081,chhatrapati shivaji,"₹ 40 Lac
₹ 1,644/sq.ft.","2 BHK
2 Baths","2,433 sq.ft.
(226 sq.m.) Carpet Area",2 BHK Residential Apartment in Model Town
1082,"124,125 Sumer Nager Q - Block , Opp. Saint Wilfred","₹ 60 Lac
₹ 3,750/sq.ft.","3 BHK
2 Baths","1,600 sq.ft.
(149 sq.m.) Carpet Area",3 BHK Residential Apartment in Jaipur
1083,Balaji residency anad Vihar a jhotwara,"₹ 23 Lac
₹ 2,300/sq.ft.","2 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Carpet Area",2 BHK Residential Apartment in Jhotwara baenar road
1084,,"₹ 60 Lac
₹ 6,000/sq.ft.","2 BHK
1 Bath","1,000 sq.ft.
(93 sq.m.) Carpet Area",2 BHK Independent Builder Floor in Gatore
1085,,"₹ 8 Lac
₹ 727/sq.ft.",,"1,100 sq.ft.
(102 sq.m.) Plot Area",Residential land / Plot in Nh-12
1086,priya vihar,"₹ 21 Lac
₹ 2,000/sq.ft.","2 BHK
2 Baths","1,050 sq.ft.
(98 sq.m.) Super built-up Area",2 BHK Residential Apartment in Govindpura Kardhani Scheme
1087,,"₹ 63 Lac
₹ 3,333/sq.ft.",,"1,890 sq.ft.
(176 sq.m.) Plot Area",Residential land / Plot in vaishali estate extension
1088,Gurushikhar Apartments,"₹ 15 Lac
₹ 2,305/sq.ft.","1 BHK
2 Baths","651 sq.ft.
(60 sq.m.) Built-up Area",1 BHK Residential Apartment in Ajairajpura
1089,Hasan pura,"₹ 99 Lac
₹ 11,000/sq.ft.","4 BHK
4 Baths","900 sq.ft.
(84 sq.m.) Carpet Area",4 BHK Independent Builder Floor in Hasanpura
1090,,"₹ 2 Cr
₹ 5,899/sq.ft.","2 BHK
2 Baths","3,390 sq.ft.
(315 sq.m.) Plot Area",2 Bedroom Independent House in Sanganer
1091,sirsi hathoj link road,"₹ 32 Lac
₹ 3,200/sq.ft.","3 BHK
3 Baths","1,000 sq.ft.
(93 sq.m.) Plot Area",3 Bedroom Independent House in kalyan petrol pump
1092,Gurushikhar Society,"₹ 42 Lac
₹ 2,334/sq.ft.","3 BHK
3 Baths","1,800 sq.ft.
(167 sq.m.) Built-up Area",3 BHK Residential Apartment in Shivdaspura
1093,Anukampa Tulip,"₹ 65 Lac
₹ 4,483/sq.ft.","3 BHK
3 Baths","1,450 sq.ft.
(135 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
1094,,"₹ 5 Cr
₹ 1,548/sq.ft.",,"32,291 sq.ft.
(3000 sq.m.) Plot Area",Residential land / Plot in NH-8
1095,Omaxe City,"₹ 30 Lac
₹ 4,286/sq.ft.","2 BHK
2 Baths","700 sq.ft.
(65 sq.m.) Built-up Area",2 BHK Residential Apartment in Ajmer Road
1096,,"₹ 1.8 Cr
₹ 20,056/sq.ft.","7 BHK
5 Baths","900 sq.ft.
(84 sq.m.) Plot Area",7 Bedroom Independent House in Eid Gah delhi By Paas road
1097,Shakambhari Kohinoor Residency Rampura Road Dadaba,"₹ 48 Lac
₹ 2,666/sq.ft.","3 BHK
3 Baths","1,800 sq.ft.
(167 sq.m.) Super built-up Area",3 BHK Residential Apartment in Rampura
